month_date,hires,pct_of_baseline,usable
1995-06-01,1498,7.1,TRUE
1995-07-01,882,4.2,TRUE
1995-08-01,804,3.8,TRUE
1995-09-01,2925,13.9,TRUE
1995-10-01,1504,7.1,TRUE
1995-11-01,1073,5.1,TRUE
1995-12-01,687,3.3,TRUE
1996-01-01,8947,42.4,TRUE
1996-02-01,1252,5.9,TRUE
1996-03-01,1497,7.1,TRUE
1996-04-01,1483,7,TRUE
1996-05-01,1489,7.1,TRUE
1996-06-01,1760,8.3,TRUE
1996-07-01,1081,5.1,TRUE
1996-08-01,938,4.4,TRUE
1996-09-01,3362,15.9,TRUE
1996-10-01,1755,8.3,TRUE
1996-11-01,1155,5.5,TRUE
1996-12-01,871,4.1,TRUE
1997-01-01,9597,45.5,TRUE
1997-02-01,1411,6.7,TRUE
1997-03-01,1815,8.6,TRUE
1997-04-01,1741,8.2,TRUE
1997-05-01,1748,8.3,TRUE
1997-06-01,1899,9,TRUE
1997-07-01,1536,7.3,TRUE
1997-08-01,1019,4.8,TRUE
1997-09-01,4081,19.3,TRUE
1997-10-01,2056,9.7,TRUE
1997-11-01,1627,7.7,TRUE
1997-12-01,1037,4.9,TRUE
1998-01-01,11413,54.1,TRUE
1998-02-01,1872,8.9,TRUE
1998-03-01,2196,10.4,TRUE
1998-04-01,1832,8.7,TRUE
1998-05-01,2042,9.7,TRUE
1998-06-01,2431,11.5,TRUE
1998-07-01,1680,8,TRUE
1998-08-01,1324,6.3,TRUE
1998-09-01,4764,22.6,TRUE
1998-10-01,2854,13.5,TRUE
1998-11-01,1912,9.1,TRUE
1998-12-01,1240,5.9,TRUE
1999-01-01,13216,62.6,TRUE
1999-02-01,2115,10,TRUE
1999-03-01,2531,12,TRUE
1999-04-01,2258,10.7,TRUE
1999-05-01,2550,12.1,TRUE
1999-06-01,2982,14.1,TRUE
1999-07-01,1975,9.4,TRUE
1999-08-01,1687,8,TRUE
1999-09-01,6112,29,TRUE
1999-10-01,3123,14.8,TRUE
1999-11-01,2648,12.5,TRUE
1999-12-01,2148,10.2,TRUE
2000-01-01,21132,100.1,TRUE
2000-02-01,3029,14.4,TRUE
2000-03-01,3693,17.5,TRUE
2000-04-01,2948,14,TRUE
2000-05-01,3255,15.4,TRUE
2000-06-01,3798,18,TRUE
2000-07-01,2570,12.2,TRUE
2000-08-01,2220,10.5,TRUE
2000-09-01,7167,34,TRUE
2000-10-01,4189,19.8,TRUE
2000-11-01,2690,12.7,TRUE
2000-12-01,1994,9.4,TRUE
2001-01-01,15475,73.3,TRUE
2001-02-01,2855,13.5,TRUE
2001-03-01,3436,16.3,TRUE
2001-04-01,2949,14,TRUE
2001-05-01,3118,14.8,TRUE
2001-06-01,3592,17,TRUE
2001-07-01,2533,12,TRUE
2001-08-01,1732,8.2,TRUE
2001-09-01,6618,31.4,TRUE
2001-10-01,3762,17.8,TRUE
2001-11-01,2678,12.7,TRUE
2001-12-01,1714,8.1,TRUE
2002-01-01,16101,76.3,TRUE
2002-02-01,3786,17.9,TRUE
2002-03-01,3710,17.6,TRUE
2002-04-01,3478,16.5,TRUE
