rcid,total_postings,n_years,first_year,last_year
1333549,138,3,2024,2026
1662029,138,7,2020,2026
3420405,138,7,2020,2026
6822236,138,6,2021,2026
7782087,138,5,2022,2026
8335350,138,5,2021,2025
8949021,138,7,2020,2026
22141982,138,6,2021,2026
459800,137,7,2020,2026
774155,137,5,2021,2026
1122239,137,7,2020,2026
1142749,137,7,2020,2026
1186980,137,3,2023,2025
2793144,137,6,2021,2026
9039136,137,7,2020,2026
22655814,137,4,2022,2025
982074,136,5,2022,2026
1140291,136,4,2022,2025
2105768,136,7,2020,2026
3220436,136,6,2020,2025
4192958,136,7,2020,2026
4211192,136,7,2020,2026
5089056,136,3,2024,2026
7289624,136,1,2021,2021
16243570,136,3,2024,2026
20925158,136,7,2020,2026
27778230,136,5,2022,2026
30127375,136,4,2023,2026
93459877,136,6,2021,2026
867020,135,6,2020,2025
3763281,135,5,2021,2025
11689870,135,7,2020,2026
594642,134,7,2020,2026
677128,134,5,2022,2026
1010836,134,7,2020,2026
4215423,134,6,2021,2026
6112652,134,6,2021,2026
22142783,134,6,2021,2026
